date,pacientes_uti_ultimo_dia,total_passengers
2021-02-04,2145.285714285714,4177207.4285714286
2021-02-05,2138.0,4221411.142857143
2021-02-06,2129.5714285714284,3976912.8571428573
2021-02-07,2126.0,3846440.285714286
2021-02-08,2118.8571428571427,4426415.0
2021-02-09,2108.4285714285716,4481707.428571428
2021-02-11,2084.5714285714284,4471334.142857143
2021-02-12,2075.0,4499468.714285715
2021-02-13,2069.0,4164160.8571428573
2021-02-14,2060.0,3921215.285714286
2021-02-15,2062.285714285714,4372002.285714285
2021-02-16,2073.8571428571427,4280142.0
2021-02-17,2089.5714285714284,4244563.714285715
2021-02-18,2115.0,4320611.285714285
2021-02-19,2139.285714285714,4450512.142857143
2021-02-20,2164.285714285714,4492374.142857143
2021-02-21,2186.1428571428573,4492986.857142857
2021-02-22,2212.5714285714284,4564115.285714285
2021-02-23,2227.4285714285716,4667361.142857143
2021-02-24,2253.5714285714284,4678651.571428572
2021-02-25,2276.0,4632910.142857143
2021-02-26,2302.285714285714,5245556.571428572
2021-02-27,2334.8571428571427,5137526.285714285
2021-02-28,2379.5714285714284,5077953.142857143
2021-03-01,2417.285714285714,5072980.714285715
2021-03-02,2469.1428571428573,5067365.857142857
2021-03-03,2532.0,5085342.142857143
2021-03-04,2603.1428571428573,5102897.0
2021-03-05,2681.4285714285716,4438614.285714285
2021-03-06,2763.0,4383819.285714285
2021-03-07,2843.285714285714,4349152.0
2021-03-08,2933.0,4256076.428571428
2021-03-09,3032.5714285714284,4156841.285714286
2021-03-10,3130.0,4062969.4285714286
2021-03-11,3229.285714285714,3961423.714285714
2021-03-12,3330.714285714286,3889135.8571428573
2021-03-13,3424.1428571428573,3940945.8571428573
2021-03-14,3535.1428571428573,3974061.714285714
2021-03-15,3639.5714285714284,3889383.714285714
2021-03-16,3738.0,3793413.8571428573
2021-03-17,3841.285714285714,3655602.4285714286
2021-03-18,3964.0,3569948.285714286
2021-03-19,4085.0,3494525.714285714
2021-03-20,4224.428571428572,3464011.4285714286
2021-03-21,4339.142857142857,3444039.714285714
2021-03-22,4460.142857142857,3430810.8571428573
2021-03-23,4570.285714285715,3430212.5714285714
2021-03-24,4674.285714285715,3464726.8571428573
2021-03-25,4749.428571428572,3486558.8571428573
2021-03-26,4821.285714285715,3390550.714285714
2021-03-27,4877.571428571428,3365652.4285714286
2021-03-28,4927.571428571428,3361063.1428571427
2021-03-29,4961.285714285715,3254532.285714286
